vvento,N,ang_virab,pressao,VPP
"3,5","17,37","1,52317835","0,00936327","0,6009"
"3,5","17,37","1,53869402","0,01042449","0,6009"
"3,5","17,37","1,55420969","0,01164898","0,6009"
"3,5","17,37","1,56972536","0,01303673","0,6009"
"3,5","17,37","1,58524103","0,01461224","0,6009"
"3,5","17,37","1,60075670","0,01660408","0,6009"
"3,5","17,37","1,61627237","0,01884898","0,6009"
"3,5","17,37","1,63178804","0,02133061","0,6009"
"3,5","17,37","1,64730371","0,02409796","0,6009"
"3,5","17,37","1,66281937","0,02715918","0,6009"
"3,5","17,37","1,67833504","0,03036735","0,6009"
"3,5","17,37","1,69385071","0,03389388","0,6009"
"3,5","17,37","1,70936638","0,03778776","0,6009"
"3,5","17,37","1,72488205","0,04207347","0,6009"
"3,5","17,37","1,74039772","0,04675918","0,6009"
"3,5","17,37","1,75591339","0,05187755","0,6009"
"3,5","17,37","1,77142906","0,05747755","0,6009"
"3,5","17,37","1,78694473","0,06391020","0,6009"
"3,5","17,37","1,80246040","0,07083265","0,6009"
"3,5","17,37","1,81797607","0,07822041","0,6009"
"3,5","17,37","1,83349174","0,08597551","0,6009"
"3,5","17,37","1,84900740","0,09418776","0,6009"
"3,5","17,37","1,86452307","0,10261224","0,6009"
"3,5","17,37","1,88003874","0,11149388","0,6009"
"3,5","17,37","1,89555441","0,12076735","0,6009"
"3,5","17,37","1,91107008","0,13050612","0,6009"
"3,5","17,37","1,92658575","0,14084082","0,6009"
"3,5","17,37","1,94210142","0,15164082","0,6009"
"3,5","17,37","1,95761709","0,16306122","0,6009"
"3,5","17,37","1,97313276","0,17485714","0,6009"
"3,5","17,37","1,98864843","0,18730612","0,6009"
"3,5","17,37","2,00416410","0,20035918","0,6009"
"3,5","17,37","2,01967977","0,21400816","0,6009"
"3,5","17,37","2,03519543","0,22813878","0,6009"
"3,5","17,37","2,05071110","0,24277551","0,6009"
"3,5","17,37","2,06622677","0,25786122","0,6009"
"3,5","17,37","2,08174244","0,27352653","0,6009"
"3,5","17,37","2,09725811","0,28962449","0,6009"
"3,5","17,37","2,11277378","0,30630204","0,6009"
"3,5","17,37","2,12828945","0,32350204","0,6009"
"3,5","17,37","2,14380512","0,34060408","0,6009"
"3,5","17,37","2,15932079","0,35792653","0,6009"
"3,5","17,37","2,17483646","0,37557551","0,6009"
"3,5","17,37","2,19035213","0,39342857","0,6009"
